avg_wait,renege_rate,staffing_cost,avg_tellers,served,total_cost
2.0275,4.3,420.5,8.41,1291,430.6375
180.24,45.83333333333333,253.0,5.06,1301,1154.2
1.125,5.333333333333333,423.0,8.46,1093,428.625
45.813214285714274,26.976190476190474,293.0,5.86,1271,522.0660714285714
1.205,4.533333333333333,423.0,8.46,1109,429.025
4.925,7.166666666666666,413.5,8.27,1259,438.125
2.7225,4.699999999999999,418.5,8.37,1096,432.1125
3.3425,7.7,418.0,8.36,1107,434.7125
2.1,4.766666666666666,420.5,8.41,1090,431.0
1.3,3.3333333333333335,423.0,8.46,1071,429.5
2.66,5.5,418.5,8.37,1117,431.8
2.4775,5.666666666666666,420.0,8.4,1093,432.3875
1.685,3.9,417.0,8.34,1259,425.425
2.16,6.1,420.5,8.41,1270,431.3
0.97,3.633333333333333,423.0,8.46,1100,427.85
3.15,5.8,421.5,8.43,1126,437.25
2.6925,7.199999999999999,419.5,8.39,1043,432.9625
2.6925,4.833333333333333,418.5,8.37,1282,431.9625
12.1,26.899999999999995,229.5,4.59,1109,290.0
1.4075,4.55,419.0,8.38,1263,426.0375
9.27,10.833333333333332,258.0,5.16,1076,304.35
2.925,7.533333333333333,428.0,8.56,1156,442.625
2.4725,4.8999999999999995,420.0,8.4,1262,432.3625
103.05,31.0,267.0,5.34,1256,782.25
163.1625,39.666666666666664,258.0,5.16,1287,1073.8125
4.245,8.833333333333332,266.5,5.33,1111,287.725
2.65,5.933333333333333,418.5,8.37,1063,431.75
3.1575,5.133333333333332,425.0,8.5,1070,440.7875
2.7875,4.7333333333333325,418.0,8.36,1106,431.9375
1.7,4.666666666666666,417.0,8.34,1123,425.5
2.2075,4.333333333333333,416.5,8.33,1292,427.5375
8.65,11.333333333333332,264.0,5.28,1074,307.25
3.6225,5.833333333333333,420.5,8.41,1079,438.6125
2.53,4.333333333333333,415.5,8.31,1267,428.15
2.9375,5.499999999999999,426.0,8.52,1295,440.6875
3.12,5.2,424.5,8.49,1086,440.1
459.1,42.83333333333333,190.0,3.8,944,2485.5
0.6575,2.9666666666666663,420.0,8.4,1080,423.2875
3.7225,6.7333333333333325,416.5,8.33,1270,435.1125
3.325,6.866666666666667,426.5,8.53,1106,443.125
1.13,4.033333333333333,423.0,8.46,1090,428.65
2.525,4.5,420.0,8.4,1288,432.625
5.3275,6.8999999999999995,426.5,8.53,1135,453.1375
2.485,4.9,420.0,8.4,1093,432.425
9.416666666666668,12.055555555555554,405.5,8.11,1296,452.58333333333337
723.375,43.0,187.0,3.74,953,3803.875
1.565,4.433333333333333,422.5,8.45,1117,430.325
3.075,5.5666666666666655,421.5,8.43,1101,436.875
8.555,15.333333333333336,255.0,5.1,1079,297.775
3.9375,7.966666666666667,420.5,8.41,1318,440.1875
162.1475,37.666666666666664,264.0,5.28,1295,1074.7375000000002
2.1775,4.166666666666666,420.5,8.41,1277,431.3875
8.976071428571428,20.038095238095238,263.5,5.27,1089,308.3803571428571
1.3525,3.3333333333333335,418.5,8.37,1278,425.2625
1.9175,5.2333333333333325,420.5,8.41,1092,430.0875
2.885,4.433333333333333,418.0,8.36,1091,432.425
328.2875,44.5,188.0,3.76,949,1829.4375
2.6375,4.6,423.0,8.46,1278,436.1875
1.8975,4.933333333333334,417.0,8.34,1089,426.4875
1.025,3.166666666666666,423.0,8.46,1244,428.125
0.6275,3.183333333333333,420.0,8.4,1076,423.1375
1.795,4.633333333333333,421.0,8.42,1286,429.975
3.6875,9.5,420.5,8.41,1133,438.9375
2.235,4.7333333333333325,420.0,8.4,1299,431.175
168.6725,38.33333333333333,256.0,5.12,1283,1099.3625000000002
3.5625,5.666666666666667,417.0,8.34,1084,434.8125
2.34,4.35,428.5,8.57,1323,440.2
6.07,14.499999999999996,230.0,4.6,1081,260.35
3.085,5.799999999999999,417.5,8.35,1085,432.925
42.55,17.0,265.5,5.31,1109,478.25
3.7,5.333333333333333,424.5,8.49,1083,443.0
317.3775,37.66666666666667,227.0,4.54,1175,1813.8875
10.26,20.799999999999997,248.5,4.97,1118,299.8
5.35,8.666666666666666,267.0,5.34,1109,293.75
2.0025,3.3333333333333335,424.0,8.48,1031,434.0125
0.955,3.033333333333333,420.0,8.4,1090,424.775
10.025,25.03333333333333,230.0,4.6,1098,280.125
10.6875,21.73333333333333,243.5,4.87,1081,296.9375
6.145,13.100000000000001,253.0,5.06,1098,283.725
3.2225,6.533333333333332,417.0,8.34,1118,433.1125
1.8975,5.066666666666666,420.5,8.41,1098,429.9875
1.9325,4.033333333333333,420.5,8.41,1078,430.1625
1.16,4.066666666666666,419.5,8.39,1280,425.3
1.13,3.5333333333333337,419.5,8.39,1073,425.15
3.5075,5.7333333333333325,417.5,8.35,1260,435.0375
3.2575,5.866666666666667,414.0,8.28,1095,430.2875
0.5025,2.933333333333333,420.5,8.41,1059,423.0125
2.0475,4.6000000000000005,420.5,8.41,1088,430.7375
1.5225,4.133333333333333,418.0,8.36,1097,425.6125
476.7625,43.5,189.0,3.78,944,2572.8125
8.995,21.899999999999995,226.0,4.52,1080,270.975
25.170357142857142,27.36904761904762,319.5,6.39,1290,445.3517857142857
9.9175,22.400000000000002,249.5,4.99,1096,299.0875
4.0675,5.833333333333334,268.5,5.37,1105,288.8375
3.7825,7.333333333333335,264.0,5.28,1085,282.9125
1.275,2.833333333333333,429.0,8.58,1072,435.375
2.54,4.5,427.0,8.54,1100,439.7
6.7682142857142855,12.80952380952381,277.0,5.54,1063,310.8410714285714
6.705,10.33333333333333,265.5,5.31,1088,299.025
1.6525,3.4333333333333336,421.5,8.43,1293,429.7625
2.465,4.5,420.0,8.4,1089,432.325
5.4875,9.166666666666666,259.0,5.18,1080,286.4375
2.53,5.2,420.0,8.4,1082,432.65
0.4875,2.783333333333333,420.5,8.41,1116,422.9375
2.8725,7.2666666666666675,418.5,8.37,1064,432.8625
2.9425,4.633333333333333,414.0,8.28,1098,428.7125
2.7975,5.433333333333333,422.5,8.45,1101,436.4875
5.6475,8.833333333333332,262.5,5.25,1091,290.7375
3.7975,6.833333333333333,416.5,8.33,1270,435.4875
11.2475,11.833333333333334,257.0,5.14,1088,313.2375
4.0475,7.666666666666668,267.5,5.35,1115,287.7375
1.5675,3.8666666666666667,422.0,8.44,1275,429.8375
6.255,11.333333333333332,264.5,5.29,1098,295.775
3.5975,4.1000000000000005,433.5,8.67,1143,451.4875
147.2425,38.5,228.0,4.56,1128,964.2125000000001
1.6275,4.433333333333334,422.5,8.45,1091,430.6375
11.455,15.333333333333336,261.0,5.22,1092,318.275
5.035,10.033333333333333,254.5,5.09,1092,279.675
6.46,11.333333333333332,258.0,5.16,1011,290.3
268.4125,41.83333333333333,186.0,3.72,949,1528.0625
8.949047619047619,13.3,409.5,8.19,1122,454.2452380952381
4.923333333333333,6.388888888888888,413.5,8.27,1095,438.1166666666667
2.365,4.433333333333333,427.5,8.55,1296,439.325
2.785,5.1,418.0,8.36,1099,431.925
7.05,15.133333333333335,250.0,5.0,1082,285.25
1.2125,3.833333333333334,423.0,8.46,1073,429.0625
4.955,14.166666666666664,229.0,4.58,1067,253.775
1.385,3.2333333333333334,422.5,8.45,1076,429.425
4.6425,6.366666666666666,414.0,8.28,1122,437.2125
9.3275,17.43333333333333,254.5,5.09,1124,301.1375
7.463571428571429,17.03333333333333,276.0,5.52,1076,313.3178571428571
5.63,10.499999999999998,261.0,5.22,1097,289.15
3.3,5.766666666666667,417.5,8.35,1099,434.0
8.23,16.766666666666662,253.5,5.07,1109,294.65
1.1575,3.8,419.5,8.39,1053,425.2875
2.83,6.166666666666666,418.5,8.37,1301,432.65
2.095,5.933333333333334,420.5,8.41,1087,430.975
4.5575,6.966666666666665,414.0,8.28,1110,436.7875
2.76,4.4,427.0,8.54,1092,440.8
2.9075,6.166666666666666,426.5,8.53,1112,441.0375
2.0875,4.366666666666665,417.0,8.34,1094,427.4375
3.6475,5.566666666666666,420.5,8.41,1090,438.7375
2.0725,4.466666666666666,417.0,8.34,1085,427.3625
2.75,5.166666666666666,427.0,8.54,1135,440.75
362.025,43.33333333333333,188.0,3.76,927,1998.125
3.335,7.233333333333332,417.5,8.35,1068,434.175
46.273214285714296,30.742857142857144,288.0,5.76,1260,519.3660714285714
1.13,3.3666666666666663,428.5,8.57,1082,434.15
8.745,17.750000000000004,260.0,5.2,1139,303.725
2.105,4.300000000000001,420.5,8.41,1064,431.025
4.465,8.433333333333332,414.0,8.28,1085,436.325
290.695,38.46666666666667,229.0,4.58,1200,1682.475
4.39,6.133333333333333,417.5,8.35,1259,439.45
2.565,5.433333333333334,420.0,8.4,1276,432.825
1.7875,4.333333333333333,417.0,8.34,1116,425.9375
5.92,7.666666666666666,263.0,5.26,1078,292.6
1.215,3.4333333333333336,423.0,8.46,1284,429.075
3.1375,5.333333333333333,414.0,8.28,1091,429.6875
3.1225,5.933333333333333,421.5,8.43,1090,437.1125
10.45,22.066666666666666,246.0,4.92,1089,298.25
